Species,Name,Family,Habitat,Length (cm),Trophic Level,V_diet_cat,
Ceratodus humei,,Ceratodontidae,NA,9,3.2,Omnivore,
Arganodus tiguidiensis ,,Arganodontidae ,NA,9,3.2,Omnivore,
Neoceratodus africanus,,Neoceratodontidae,NA,70,3.2,Omnivore,
Mawsonia lavocati ,,Mawsoniidae,NA,350,4.4,Higher carnivore,carnivorous fish which likely catches prey by suction
cf. Axelrodichthys,,Mawsoniidae,NA,76.5,4.4,NA,"hyptothesis that could be planktivore, or could be carnivore; unknown"
cf. Bawitius ,,Polypteridae,NA,250,3,Higher carnivore,could also consume large benthic prey
Bartschichthys sp.,,Polypteridae,NA,,3,NA,
Sudania sp.,,Polypteridae,NA,,3,NA,
?Lepidotes pankowskii ,,Family indet.,NA,250,3.2,Benthic carnivore,
Obaichthys africanus ,,Obaichthyidae,NA,30,3,Benthic carnivore,
?Dentilepisosteus kemkemensis ,,Obaichthyidae,NA,,3,NA,
Oniichthys falipoui ,,Lepisosteidae,NA,40,4,Higher carnivore,
Calamopleurus africanus ,,Amiidae,NA,50,4,Higher carnivore,
Aidachar pankowskii ,,Cladocyclidae,NA,100,4.2,Higher carnivore,
Palaeonotopterus greenwoodi ,,Notopteridae,NA,85,3.2,Benthic carnivore,
Concavotectum moroccensis ,,Plethodidae,NA,150,2.5,Planktivore,
Erfoudichthys rosae,,Teleostei i.s.,NA,45,2,Planktivore,