taxon_no,Order,Family,taxon_name,ln_mass_g,mass_source,meas_element,length_mm,width_mm,meas_source,eq_type,mass_eq,eq_source,ln_mass_g_estimate,n_occs,firstapp_max_ma,firstapp_min_ma,lastapp_max_ma,lastapp_min_ma,early_interval,late_interval,life_habit,life_habit_basis,diet,diet_basis
212372,,,Chunnelodon alopekodes,,,m1,0.72,0.36,Ensom and Sigogneau-Russell 1998,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,-0.65673376,1,145,140.2,145,140.2,Berriasian,,,Mammalia,insectivore,Mammaliaformes
241959,,,Peramus dubius,,,m1,1.01,0.53,Davis 2012,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,0.668256651,1,145,140.2,145,140.2,Berriasian,,,Mammalia,insectivore,Mammaliaformes
81051,,,Uchkudukodon nessovi,,,m1,1.21,0.84,Archibald and Averianov 2006,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,1.839719759,1,93.5,89.3,93.5,89.3,Turonian,Coniacian,scansorial,Eutheria,insectivore,Theria
206735,,,Peramus tenuirostris,,,m1,1.30,0.60,Davis 2012,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,1.356061097,1,145,140.2,145,140.2,Berriasian,,,Mammalia,insectivore,Mammaliaformes
81045,,,Daulestes kulbeckensis,,,m1,1.30,0.91,Archibald and Averianov 2006,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,2.1170339,1,93.5,89.3,93.5,89.3,Turonian,Coniacian,scansorial,Eutheria,insectivore,Theria
177400,,,Arcantiodelphys marchandi,,,m1,1.30,1.15,Vullo et al 2009,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,2.54468458,1,99.6,93.5,99.6,93.5,Cenomanian,Turonian,,Metatheria,omnivore,Metatheria
197847,,,Acristatherium yanensis,,,m1,1.30,,Hu et al 2010,"Carnivores, m1_length",ln(m) = 1.681 + 2.97 * ln(m1_length),Van Valkenburgh 1990,2.44448001,1,125.45,122.46,125.45,122.46,Barremian,Aptian,scansorial,Eutheria,insectivore,Theria
81048,,,Daulestes inobservabilis,,,m1,1.34,0.94,Archibald and Averianov 2006,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,2.231661022,1,93.5,89.3,93.5,89.3,Turonian,Coniacian,scansorial,Eutheria,insectivore,Theria
204159,,,Arguimus khosbajari,,,m1,1.40,0.65,Lopatin and Averianov 2006,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,1.637694389,1,125,100.5,125,100.5,Aptian,Albian,,Mammalia,insectivore,Mammaliaformes
216467,,,Sinbadelphys schmidti,,,m1,1.40,0.75,Cifelli 2004,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,1.89913963,7,113,100.5,100.5,89.8,Albian,Turonian,,Metatheria,omnivore,Metatheria
100743,,,Bishops whitmorei,1.91,Rich et al 2020,m1,1.40,1.20,Rich et al 2020,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,2.757836261,1,122.46,112.03,122.46,112.03,Aptian,Albian,,Mammalia,insectivore,Mammaliaformes
185139,,,Prokennalestes minor,,,m1,1.43,0.89,Lopatin and Averianov 2017,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,2.250563927,1,125,100.5,125,100.5,Aptian,Albian,scansorial,Eutheria,insectivore,Theria
48803,,,Montanalestes keeblerorum,,,m1,1.48,0.88,Cifelli and Davis 2015,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,2.292709325,1,113,100.5,113,100.5,Albian,,scansorial,Eutheria,insectivore,Theria
260766,,,Paranyctoides quadrans,,,m1,1.50,1.80,Averianov and Archibald 2013,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,3.624670989,1,93.5,89.3,93.5,86.3,Turonian,Coniacian,scansorial,Eutheria,insectivore,Theria
106453,,,Ausktribosphenos nyktos,3.04,Rich et al 2020,m1,1.60,1.70,Rich et al 1997,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,3.638154445,1,122.46,112.03,122.46,112.03,Aptian,Albian,,Mammalia,insectivore,Mammaliaformes
57349,,,Kennalestes gobiensis,3.66,Hoffman et al 2014,m1,1.65,1.05,Kielan-Jaworowska 1969,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,2.814056081,2,83.6,72.1,83.5,70.6,Campanian,Maastrichtian,ground dwelling,Kennalestes,insectivore,Kennalestes
81053,,,Bulaklestes kezbe,,,m1,1.67,1.10,Archibald and Averianov 2006,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,2.921060464,1,93.5,89.3,93.5,89.3,Turonian,Coniacian,scansorial,Eutheria,insectivore,Theria
264072,,,Sasayamamylos kawaii,,,m1,1.70,1.20,Kusuhashi et al 2013,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,3.112559299,1,112.03,109,112.03,109,Albian,,scansorial,Eutheria,insectivore,Theria
137755,,,Prokennalestes trofimovi,,,m1,1.73,1.19,Lopatin and Averianov 2017,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,3.129230505,1,125,100.5,125,100.5,Aptian,Albian,scansorial,Eutheria,insectivore,Theria
50932,,,Protalphadon lulli,,,m1,1.74,0.98,Eaton 2006,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,2.785037756,11,83.5,70.6,70.6,66,Campanian,Maastrichtian,,Metatheria,omnivore,Metatheria
371031,,,Hovurlestes noyon,,,m1,1.75,1.20,Lopatin and Averianov 2018,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,3.165519529,1,125,100.5,125,100.5,Aptian,Albian,scansorial,Eutheria,insectivore,Theria
197366,,,Endotherium niinomii,,,m1,2.00,,Wang et al 2018,"Carnivores, m1_length",ln(m) = 1.681 + 2.97 * ln(m1_length),Van Valkenburgh 1990,3.698058295,1,125,100.5,125,100.5,Aptian,Albian,scansorial,Eutheria,insectivore,Theria
140937,,,Trapalcotherium matuastensis,,,m1,2.48,2.07,Rougier et al 2009,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,4.798619695,1,83.5,66,83.5,66,Campanian,Maastrichtian,,Mammalia,insectivore,Mammaliaformes
346645,,,Dakotadens pertritus,,,m1,2.54,1.22,Cifelli et al 2016,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,3.876364295,6,105.3,93.5,105.3,93.5,Albian,Turonian,,Metatheria,omnivore,Metatheria
213248,,,Eoungulatum kudukensis,,,m1,2.73,2.18,Archibald and Averianov 2012,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,5.06868559,4,93.5,89.3,93.5,86.3,Turonian,Coniacian,scansorial,Eutheria,insectivore,Theria
420827,,,Magallanodon baikashkenke,,,m1,8.34,6.31,Goin et al 2020,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,9.050764377,1,83.5,66,83.5,66,Campanian,Maastrichtian,,Mammalia,insectivore,Mammaliaformes
216465,,,Adelodelphys muizoni,,,,,,,,,,,4,105.3,93.5,105.3,93.5,Albian,Turonian,,Metatheria,omnivore,Metatheria
175106,,,Aegialodon dawsoni,,,,,,,,,,,2,140.2,136.4,140.2,136.4,Berriasian,Valanginian,,Aegialodon,insectivore,Aegialodon
43786,,,Aenigmadelphys archeri,,,,,,,,,,,2,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Metatheria,omnivore,Metatheria
371742,,,Ambolestes zhoui,3.65,Bi et al 2018,,,,,,,,,1,125.45,122.46,125.45,122.46,Barremian,Aptian,scansorial,Eutheria,insectivore,Theria
103955,,,Apistodon exiguus,,,,,,,,,,,3,85.8,83.5,83.5,70.6,Santonian,Maastrichtian,,Metatheria,omnivore,Metatheria
319843,,,Argaliatherium robustum,,,,,,,,,,,1,113,100.5,113,100.5,Albian,,,Mammalia,insectivore,Mammaliaformes
183890,,,Asiatherium reshetovi,,,,,,,,,,,1,83.6,72.1,83.6,72.1,Campanian,,,Metatheria,omnivore,Metatheria
57288,,,Asioryctes nemegtensis,3.76,Hoffman et al 2014,,,,,,,,,4,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,ground dwelling,Asioryctes,insectivore,Asioryctes
212326,,,Atlasodon monbaroni,,,,,,,,,,,1,145,139.8,145,139.8,Berriasian,,,Mammalia,insectivore,Mammaliaformes
140934,,,Barberenia allenensis,,,,,,,,,,,1,83.5,66,83.5,66,Campanian,Maastrichtian,,Mammalia,insectivore,Mammaliaformes
207627,,,Barberenia araujoae,,,,,,,,,,,1,83.5,66,83.5,66,Campanian,Maastrichtian,,Mammalia,insectivore,Mammaliaformes
44535,,,Bistius bondi,,,,,,,,,,,1,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Metatheria,omnivore,Metatheria
207625,,,Brandonia intermedia,,,,,,,,,,,1,83.5,66,83.5,66,Campanian,Maastrichtian,,Mammalia,insectivore,Mammaliaformes
371002,,,Brasilestes stardusti,,,,,,,,,,,1,83.5,66,83.5,66,Campanian,Maastrichtian,,Mammalia,insectivore,Mammaliaformes
319845,,,Carinalestes murensis,,,,,,,,,,,1,113,100.5,113,100.5,Albian,,,Mammalia,insectivore,Mammaliaformes
423031,,,Cryoharamiya tarda,,,,,,,,,,,1,145,125,145,125,Berriasian,Barremian,,Mammalia,insectivore,Mammaliaformes
346647,,,Culicolestes kielanae,,,,,,,,,,,6,105.3,93.5,105.3,93.5,Albian,Turonian,,Mammalia,insectivore,Mammaliaformes
363076,,,Durlstodon ensomi,,,,,,,,,,,1,145,140.2,145,140.2,Berriasian,,scansorial,Eutheria,insectivore,Theria
363074,,,Durlstotherium newmani,,,,,,,,,,,1,145,140.2,145,140.2,Berriasian,,scansorial,Eutheria,insectivore,Theria
45964,,,Ectocentrocristus foxi,,,,,,,,,,,3,83.5,70.6,70.6,66,Campanian,Maastrichtian,,Metatheria,omnivore,Metatheria
67563,,,Eomaia scansoria,3.11,Ji et al 2002,,,,,,,,,1,129.4,125,129.4,125,Barremian,,scansorial,Eomaia scansoria,insectivore,Eomaia
67618,,,Ferugliotherium windhauseni,,,,,,,,,,,1,83.5,66,83.5,66,Campanian,Maastrichtian,,Mammalia,insectivore,Mammaliaformes
204188,,,Gobiotheriodon infinitus,,,,,,,,,,,1,125,100.5,125,100.5,Aptian,Albian,,Mammalia,insectivore,Mammaliaformes
160062,,,Hatcheritherium alpha,,,,,,,,,,,1,70.6,66,70.6,66,Maastrichtian,,,Metatheria,omnivore,Metatheria
213213,,,Hypomylos micros,,,,,,,,,,,1,152.1,139.8,145,139.8,Tithonian,Berriasian,,Mammalia,insectivore,Mammaliaformes
204155,,,Hypomylos phelizoni,,,,,,,,,,,1,152.1,139.8,145,139.8,Tithonian,Berriasian,,Mammalia,insectivore,Mammaliaformes
111054,,,Kharmerungulatum vanvaleni,,,,,,,,,,,1,72.1,66,72.1,66,Maastrichtian,,scansorial,Eutheria,insectivore,Theria
113800,,,Kielantherium gobiensis,,,,,,,,,,,1,125,100.5,125,100.5,Aptian,Albian,,Mammalia,insectivore,Mammaliaformes
47450,,,Kokopellia juddi,,,m1,1.97,0.95,Cifelli 1993,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,2.955054434,1,105.3,93.5,105.3,93.5,Albian,Turonian,,Metatheria,omnivore,Metatheria
213210,,,Magnimus ensomi,,,,,,,,,,,1,145,140.2,145,140.2,Berriasian,,,Mammalia,insectivore,Mammaliaformes
212332,,,Microderson laaroussii,,,,,,,,,,,1,145,139.8,145,139.8,Berriasian,,,Mammalia,insectivore,Mammaliaformes
213212,,,Minimus richardfoxi,,,,,,,,,,,1,145,139.8,145,139.8,Berriasian,,,Mammalia,insectivore,Mammaliaformes
213234,,,Murtoilestes abramovi,,,,,,,,,,,2,130,113,130,113,Hauterivian,Aptian,scansorial,Eutheria,insectivore,Theria
49720,,,Paleomolops langstoni,,,,,,,,,,,1,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Mammalia,insectivore,Mammaliaformes
207615,,,Peramus minor,,,,,,,,,,,1,145,140.2,145,140.2,Berriasian,,,Mammalia,insectivore,Mammaliaformes
50649,,,Potamotelses aquilensis,,,,,,,,,,,1,85.8,83.5,85.8,83.5,Santonian,Campanian,,Potamotelses,insectivore,Potamotelses
50931,,,Protalphadon foxi,,,,,,,,,,,1,70.6,66,70.6,66,Maastrichtian,,,Metatheria,omnivore,Metatheria
209845,,,Sahnitherium rangapurensis,,,,,,,,,,,1,72.1,66,72.1,66,Maastrichtian,,scansorial,Eutheria,insectivore,Theria
213929,,,Sazlestes tis,,,,,,,,,,,1,93.5,89.3,93.5,89.3,Turonian,Coniacian,scansorial,Eutheria,insectivore,Theria
133917,,,Schadipes crypticus,,,,,,,,,,,1,72.1,66,72.1,66,Maastrichtian,,,Mammalia,insectivore,Mammaliaformes
365638,,,Sederipes goddardensis,,,,,,,,,,,1,125,113,125,113,Aptian,,,Mammalia,insectivore,Mammaliaformes
91354,,,Sinodelphys szalayi,3.48,Luo et al 2003,,,,,,,,,1,129.4,125,129.4,125,Barremian,,scansorial,Sinodelphys,insectivore,Sinodelphys
212349,,,Tribactonodon bonfieldi,,,,,,,,,,,1,145,139.8,145,139.8,Berriasian,,scansorial,Theria,insectivore,Theria
213199,,,Tribotherium africanum,,,,,,,,,,,2,152.1,139.8,145,139.8,Tithonian,Berriasian,,Mammalia,insectivore,Mammaliaformes
137753,,,Ukhaatherium nessovi,,,,,,,,,,,1,83.6,72.1,83.6,72.1,Campanian,,scansorial,Eutheria,insectivore,Theria
52754,,,Zygiocuspis goldingi,,,,,,,,,,,1,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Mammalia,insectivore,Mammaliaformes
45521,,,Dakotadens morrowi,4.366,Smith et al 2018,,,,,,,,,3,100.5,93.9,100.5,93.9,Cenomanian,,,Metatheria,omnivore,Metatheria
47410,,,Iugomortiferum thoringtoni,3.035,Smith et al 2018,,,,,,,,,2,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Metatheria,omnivore,Metatheria
49927,,,Paranyctoides maleficus,2.396,Smith et al 2018,,,,,,,,,2,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,scansorial,Eutheria,insectivore,Theria
49929,,,Paranyctoides sternbergi,2.331,Smith et al 2018,,,,,,,,,4,83.5,70.6,70.6,66,Campanian,Maastrichtian,scansorial,Eutheria,insectivore,Theria
44040,,,Anchistodelphys delicatus,1.988,Smith et al 2018,,,,,,,,,1,93.5,89.3,93.5,89.3,Turonian,Coniacian,,Metatheria,omnivore,Metatheria
44039,,,Anchistodelphys archibaldi,1.599,Smith et al 2018,,,,,,,,,3,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Metatheria,omnivore,Metatheria
419515,,Adalatheriidae,Adalatherium hui,8.03,Krause et al 2020,,,,,,,,,1,72.1,66,72.1,66,Maastrichtian,,,Mammalia,insectivore,Mammaliaformes
137961,,Adapisoriculidae,Deccanolestes hislopi,,,m1,0.95,0.58,Prasad et al 1994,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,0.721070602,2,72.1,66,72.1,66,Maastrichtian,,arboreal,Deccanolestes,insectivore,Theria
202470,,Adapisoriculidae,Deccanolestes narmadensis,,,m1,1.32,0.67,Prasad et al 2010,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,1.585560669,1,72.1,66,72.1,66,Maastrichtian,,arboreal,Deccanolestes,insectivore,Theria
137962,,Adapisoriculidae,Deccanolestes robustus,,,m1,1.48,0.94,Prasad et al 1994,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,2.413214532,2,72.1,66,72.1,66,Maastrichtian,,arboreal,Deccanolestes,insectivore,Theria
43923,,Alphadontidae,Alphadon perexiguus,2.114,Smith et al 2018,m1,1.49,0.75,Cifelli 1994,"Marsupials, m1_area",ln(m) = 2.924 + 1.56 * ln(m1_area),Gordon 2003,3.097306714,1,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Alphadon,omnivore,Alphadon
253259,,Alphadontidae,Eoalphadon clemensi,,,m1,1.62,0.95,Eaton 2006,"Marsupials, m1_area",ln(m) = 2.924 + 1.56 * ln(m1_area),Gordon 2003,3.596567254,4,100.5,93.9,83.5,70.6,Cenomanian,Late Cretaceous,,Metatheria,omnivore,Metatheria
43928,,Alphadontidae,Alphadon wilsoni,,,m1,1.77,0.96,Archibald 1982,"Marsupials, m1_area",ln(m) = 2.924 + 1.56 * ln(m1_area),Gordon 2003,3.751045781,3,70.6,66,70.6,66,Maastrichtian,,,Alphadon,omnivore,Alphadon
43927,,Alphadontidae,Alphadon sahnii,,,m1,2.32,1.21,Lillegraven and McKenna 1986,"Marsupials, m1_area",ln(m) = 2.924 + 1.56 * ln(m1_area),Gordon 2003,4.534212571,6,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Alphadon,omnivore,Alphadon
52542,,Alphadontidae,Turgidodon russelli,3.963,Smith et al 2018,m1,2.60,1.45,Hunter et al 2010,"Marsupials, m1_area",ln(m) = 2.924 + 1.56 * ln(m1_area),Gordon 2003,4.994237002,25,83.5,70.6,70.6,66,Campanian,Maastrichtian,,Turgidodon,omnivore,Turgidodon
52540,,Alphadontidae,Turgidodon praesagus,,,m1,2.60,1.60,Sahni 1972,"Marsupials, m1_area",ln(m) = 2.924 + 1.56 * ln(m1_area),Gordon 2003,5.147803516,11,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Turgidodon,omnivore,Turgidodon
43849,,Alphadontidae,Albertatherium primus,,,,,,,,,,,4,86.3,83.6,85.8,83.5,Santonian,Campanian,,Metatheria,omnivore,Metatheria
183692,,Alphadontidae,Albertatherium secundus,,,,,,,,,,,1,85.8,83.5,85.8,83.5,Santonian,Campanian,,Metatheria,omnivore,Metatheria
253260,,Alphadontidae,Eoalphadon lillegraveni,,,,,,,,,,,2,100.5,93.9,100.5,93.9,Cenomanian,,,Metatheria,omnivore,Metatheria
253261,,Alphadontidae,Eoalphadon woodburnei,,,,,,,,,,,2,99.6,93.5,99.6,93.5,Cenomanian,Turonian,,Metatheria,omnivore,Metatheria
52536,,Alphadontidae,Turgidodon lillegraveni,,,,,,,,,,,3,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Turgidodon,omnivore,Turgidodon
52541,,Alphadontidae,Turgidodon rhaister,,,,,,,,,,,18,83.5,70.6,70.6,66,Campanian,Maastrichtian,,Turgidodon,omnivore,Turgidodon
52629,,Alphadontidae,Varalphadon creber,,,,,,,,,,,3,85.8,83.5,85.8,83.5,Santonian,Campanian,,Metatheria,omnivore,Metatheria
52630,,Alphadontidae,Varalphadon crebreforme,,,,,,,,,,,2,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Metatheria,omnivore,Metatheria
363918,,Alphadontidae,Varalphadon janetae,,,,,,,,,,,2,100.5,93.9,89.3,85.8,Cenomanian,Santonian,,Metatheria,omnivore,Metatheria
52539,,Alphadontidae,Turgidodon petiminis,5.023,Smith et al 2018,,,,,,,,,1,70.6,66,70.6,66,Maastrichtian,,,Turgidodon,omnivore,Turgidodon
52537,,Alphadontidae,Turgidodon madseni,3.494,Smith et al 2018,,,,,,,,,2,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Turgidodon,omnivore,Turgidodon
43921,,Alphadontidae,Alphadon marshi,3.463,Smith et al 2018,,,,,,,,,30,83.5,70.6,70.6,66,Campanian,Maastrichtian,,Alphadon,omnivore,Alphadon
43917,,Alphadontidae,Alphadon halleyi,3.006,Smith et al 2018,,,,,,,,,27,86.3,83.6,70.6,66,Santonian,Maastrichtian,,Alphadon,omnivore,Alphadon
52631,,Alphadontidae,Varalphadon wahweapensis,2.515,Smith et al 2018,,,,,,,,,4,86.3,83.6,83.5,70.6,Santonian,Maastrichtian,,Metatheria,omnivore,Metatheria
43913,,Alphadontidae,Alphadon attaragos,2.472,Smith et al 2018,,,,,,,,,6,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Alphadon,omnivore,Alphadon
43916,,Alphadontidae,Alphadon eatoni,2.41,Smith et al 2018,,,,,,,,,1,70.6,66,70.6,66,Maastrichtian,,,Alphadon,omnivore,Alphadon
367965,,Ameghinichnidae,Catocapes angolanus,,,,,,,,,,,1,122.46,112.03,122.46,112.03,Aptian,Albian,,Mammalia,insectivore,Mammaliaformes
437404,,Ameghinichnidae,Koreasaltipes jinjuensis,,,,,,,,,,,1,113,100.5,113,100.5,Albian,,,Mammalia,insectivore,Mammaliaformes
216769,,Amphidontidae,Acinacodus tagaricus,,,m1,1.70,0.80,Lopatin et al 2010,"Insectivores, m1_area",ln(m) = 1.726 + 1.628 * ln(m1_area),Bloch et al 1998,2.226585091,1,125,113,125,113,Aptian,,,Mammalia,insectivore,Mammaliaformes
264056,,Amphilestidae,Kemchugia magna,,,,,,,,,,,1,129.4,113,129.4,113,Barremian,Aptian,ground dwelling,Amphilestidae,carnivore,Amphilestidae
433383,,Aquiladelphidae,Scalaridelphys martini,,,m1,3.06,1.91,Cohen et al 2020,"Marsupials, m1_area",ln(m) = 2.924 + 1.56 * ln(m1_area),Gordon 2003,5.678208327,1,93.5,89.3,93.5,89.3,Turonian,Coniacian,,Metatheria,omnivore,Metatheria
428892,,Aquiladelphidae,Aquiladelphis analetris,,,,,,,,,,,1,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Metatheria,omnivore,Metatheria
44201,,Aquiladelphidae,Aquiladelphis incus,,,,,,,,,,,4,86.3,83.6,85.8,83.5,Santonian,Campanian,,Metatheria,omnivore,Metatheria
82050,,Aquiladelphidae,Aquiladelphis laurae,,,,,,,,,,,1,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Metatheria,omnivore,Metatheria
44202,,Aquiladelphidae,Aquiladelphis minor,,,,,,,,,,,4,86.3,83.6,70.6,66,Santonian,Maastrichtian,,Metatheria,omnivore,Metatheria
433382,,Aquiladelphidae,Scalaridelphys aquilana,,,,,,,,,,,1,93.5,89.3,93.5,89.3,Turonian,Coniacian,,Metatheria,omnivore,Metatheria
186980,,Arctocyonidae,Protungulatum coombsi,,,,,,,,,,,1,70.6,66,70.6,66,Maastrichtian,,,Protungulatum,omnivore,Protungulatum
51117,,Arctocyonidae,Protungulatum gorgun,,,,,,,,,,,1,70.6,66,66,63.3,Maastrichtian,Danian,,Protungulatum,omnivore,Protungulatum
44411,,Arctocyonidae,Baioconodon nordicus,7.428,Smith et al 2018,,,,,,,,,1,72.1,66,66,63.3,Maastrichtian,Danian,ground dwelling,Arctocyonidae,omnivore,Arctocyonidae
137733,,Bobolestidae,Bobolestes zenge,,,m1,0.80,1.10,Averianov and Archibald 2005,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,1.57644843,1,99.6,93.5,99.6,93.5,Cenomanian,Turonian,scansorial,Eutheria,insectivore,Theria
207620,,Bondesiidae,Bondesius ferox,,,,,,,,,,,1,83.5,66,83.5,66,Campanian,Maastrichtian,,Mammalia,insectivore,Mammaliaformes
206740,,Dryolestidae,Amblotherium nanum,,,,,,,,,,,1,145,140.2,145,140.2,Berriasian,,,Mammalia,insectivore,Mammaliaformes
206741,,Dryolestidae,Amblotherium pusillum,,,,,,,,,,,2,145,140.2,145,140.2,Berriasian,,,Mammalia,insectivore,Mammaliaformes
57717,,Dryolestidae,Amblotherium soricinum,,,,,,,,,,,1,145,140.2,145,140.2,Berriasian,,,Mammalia,insectivore,Mammaliaformes
67610,,Dryolestidae,Groebertherium novasi,,,,,,,,,,,1,83.5,66,83.5,66,Campanian,Maastrichtian,,Mammalia,insectivore,Mammaliaformes
67609,,Dryolestidae,Groebertherium stipanicici,,,,,,,,,,,2,83.5,66,83.5,66,Campanian,Maastrichtian,,Mammalia,insectivore,Mammaliaformes
